OBJECTID,Route,Direction,Exit_Num,Ramp_Num,Beg_MP,End_MP,Speed_Limit,Name,Type,Shape__Length
711,0044PM,P,,,11.523,13.449,45,44,M,3099.602937
712,0044PM,P,,,0,11.523,60,44,M,18544.50738
713,0083PM,P,,,18.963,30.717839,65,83,M,18917.61765
714,0080PM,P,,,155.842,170.571,70,80,M,23704.07497
715,0043PM,P,,,7.222,10.571907,40,43,M,5391.16414
716,0040PM,P,,,158.44,175.038218,65,40,M,26712.29526
717,0085PM,P,,,0,3.176,45,85,M,5109.734971
718,0040PM,P,,,150.305,155.508,65,40,M,8373.433398
719,0191PM,P,,,372.997,377.989,50,191,M,8033.861067
720,0040PM,P,,,143.33,144.002,35,40,M,1081.481421
721,0114NM,N,,,0,0.37912,,114,M,610.1351845
722,0040PM,P,,,141.059,142.157,50,40,M,1767.062738
723,0040PM,P,,,124.235,141.059,65,40,M,27075.65835
724,0044PM,P,,,13.449,16.672,50,44,M,5186.926553
725,0040PM,P,,,121.871,124.235,60,40,M,3804.496319
726,0089PM,P,,,89.438,90.383,40,89,M,1520.832572
727,0059PM,P,,,21.87,22.261299,30,59,M,629.7353364
728,0040PM,P,,,116.887,121.398,60,40,M,7259.764868
729,0040PM,P,,,115.79,116.887,50,40,M,1765.454533
730,0106PM,P,,,7.422,9.439197,40,106,M,3246.370083
731,0061PM,P,,,5.319,7.274792,55,61,M,3147.547478
732,0040PM,P,,,114.934,115.79,35,40,M,1377.600531
733,0046PM,P,,,8.63,9.176,40,46,M,878.7040909
734,0040PM,P,,,114.12,114.934,30,40,M,1310.009116
735,0040PM,P,,,109.586,113.696,55,40,M,6614.417173
736,0040PM,P,,,105.802,109.586,65,40,M,6089.769715
737,0091PM,P,,,34.811,38.982,60,91,M,6712.587897
738,0066PM,P,,,7.997,9.307,40,66,M,2108.244665
739,0054PM,P,,,0,0.578,40,54,M,930.2027231
740,0068PM,P,,,23.955,29.366,45,68,M,8708.178041
741,0040PM,P,,,104.809,105.802,55,40,M,1598.082792
742,0040PM,P,,,88.146,104.809,65,40,M,26816.55223
743,0282PM,P,,,1.17,2.95748,35,282,M,2878.190248
744,0062PM,P,,,0,1.317,55,62,M,2119.510695
745,0101PM,P,,,4.873,6.046,40,101,M,1887.764479
746,0198PM,P,,,0.913,3.511,55,198,M,4181.084563
747,0040PM,P,,,55.108,86.029,65,40,M,49762.62636
748,0092PM,P,,,12.602,13.837,30,92,M,1987.543905
749,0063PM,P,,,0.687,1.515,35,63,M,1332.539779
750,0040PM,P,,,40.52,46.065,65,40,M,8923.829518
751,0040PM,P,,,18.242,19.05,50,40,M,1300.352425
752,0201NM,N,,,7.494,10.008,55,201,M,4045.898374
753,0040PM,P,,,12.929,16.297,55,40,M,5420.280048
754,0092PM,P,,,5.23,6.686,45,92,M,2343.2104
755,0042PM,P,,,0,7.38187,65,42,M,11879.99239
756,0040PM,P,,,0,12.929,65,40,M,20807.25081
757,0040NM,N,,,3.164,12.840812,65,40,M,15573.35006
758,0194NM,N,,,1.718,2.659682,50,194,M,1515.493253
759,0040NM,N,,,0,1.045,45,40,M,1681.767746
760,0155PM,P,,,4.971,10.745807,55,155,M,9293.669308
