OBJECTID,LAYER_ID,LAYER_SEGMENT_ID,SHORT_NAME,LAYER_CODE,HPMS_DATA_ITEM,ROUTE_DIR_ID,ROUTE_NAME,START_ACCUM,END_ACCUM,URBAN_CODE,URBAN_DESC,ERR_CD
195762315,14,6921048,Urban Code,URBAN-CODE,Urban_Code,2321,2758,0,4.155,99999,Rurall,0
195762316,14,6921051,Urban Code,URBAN-CODE,Urban_Code,2530,2764,0,9.813,99999,Rurall,0
195762207,14,6920969,Urban Code,URBAN-CODE,Urban_Code,2294,1550,9.417,19.738,99999,Rurall,0
195762208,14,6920970,Urban Code,URBAN-CODE,Urban_Code,2295,1556,0,24.512,99999,Rurall,0
195762209,14,6920971,Urban Code,URBAN-CODE,Urban_Code,6644,1575,0,4.849,99999,Rurall,0
195762131,14,7170831,Urban Code,URBAN-CODE,Urban_Code,7033,2065,0,0.98,0,Unknown,0
195762132,14,7170921,Urban Code,URBAN-CODE,Urban_Code,7034,2073,0,0.886,0,Unknown,0
195762133,14,7170696,Urban Code,URBAN-CODE,Urban_Code,7030,1449,0,2.744,0,Unknown,0
195762134,14,7170741,Urban Code,URBAN-CODE,Urban_Code,7031,1471,0,1.122,0,Unknown,0
195762083,14,6928963,Urban Code,URBAN-CODE,Urban_Code,1919,2800,0.932,4.034,99998,Small Urban,0
195762084,14,6929010,Urban Code,URBAN-CODE,Urban_Code,6976,2805,0,2.625,99998,Small Urban,0
195762085,14,6929054,Urban Code,URBAN-CODE,Urban_Code,6977,2807,0,0.493,99998,Small Urban,0
195762076,14,7173199,Urban Code,URBAN-CODE,Urban_Code,5984,2701,0,1.001,99998,Small Urban,0
195762077,14,7173229,Urban Code,URBAN-CODE,Urban_Code,2406,2708,0,3.08,99998,Small Urban,0
195762078,14,6925568,Urban Code,URBAN-CODE,Urban_Code,2369,1715,0,5.136,99999,Rurall,0
195762079,14,6925492,Urban Code,URBAN-CODE,Urban_Code,5588,1706,0,21.496,99999,Rurall,0
