OBJECTID,ROUTE_ID,FC_CODE,FC_CODE_DESC,SHAPE_Length
1,12,3,3,27729.290698491
2,12,4,4,223625.176281457
3,13,3,3,13489.5517202947
4,13,4,4,22306.3174543959
5,13,5,5,35819.4553242411
6,14,4,4,82239.6389935136
7,15,1,1,837501.120181349
8,16,4,4,62571.3769028149
9,17,4,4,12262.6457787491
10,18,3,3,41992.7283246989
11,18,4,4,62711.8270857537
12,19,5,5,9481.39380945406
13,20,3,3,42051.2311063649
14,21,4,4,62956.0122949336
15,21,5,5,158420.46177979
16,22,5,5,14093.5493840007
17,23,4,4,21729.6562988465
18,23,5,5,42865.5608728769
19,24,4,4,330649.317152418
20,25,5,5,20569.2558722504
21,26,3,3,8015.12601844031
22,28,3,3,81241.2508454398
23,28,4,4,9997.54485600987
24,29,5,5,45302.9170465885
25,30,3,3,8672.22421122579
26,30,4,4,88702.7888545791
27,30,5,5,195398.676211859
28,31,5,5,99708.3210266734
29,32,4,4,60405.28089351
30,32,5,5,1332.36226796435
31,32,7,7,384.385553119881
32,6,2,2,13549.5919411763
33,6,3,3,437205.420527588
34,6,4,4,149157.444494352
35,7,2,2,36997.1366747316
36,8,3,3,2647.53336353072
37,9,3,3,90914.266338038
38,10,3,3,143241.045615639
39,11,4,4,5997.77685644988
40,60,5,5,15875.1870671279
41,61,5,5,15721.0302011461
42,62,5,5,88182.0125084182
43,63,4,4,5394.80441546229
44,64,5,5,4207.70945311618
45,65,5,5,60138.2409162372
46,66,5,5,30629.3323407385
47,74,4,4,10749.4664148209
48,75,3,3,4265.67450884929
49,76,6,6,5022.07500440035
50,77,3,3,4141.48819190938
51,77,4,4,1015.98834253206
52,77,5,5,14013.0151600582
53,78,5,5,19659.6137747463
54,79,3,3,7316.02469783449
55,79,4,4,5057.11100423094
56,80,1,1,416524.283272273
57,67,2,2,24770.6910436747
58,68,3,3,88316.5858205124
59,68,4,4,61817.9768983518
60,70,1,1,479332.266016749
61,71,3,3,47778.835264473
62,72,5,5,73177.6483435337
63,73,3,3,76420.622634146
64,34,3,3,4372.17090287624
65,35,5,5,130765.477047641
66,36,3,3,50435.6260178041
67,36,5,5,89386.3374771842
68,37,4,4,26409.1047789891
69,38,4,4,17881.0889190502
70,38,5,5,23028.6132577973
71,38,999,999,498.177346236936
72,39,3,3,16545.516685744
73,39,4,4,24864.0068070709
74,39,5,5,104061.500392412
75,40,2,2,28216.9566597316
76,40,3,3,341390.653181317
77,42,5,5,15976.9813065223
78,43,4,4,16911.02951965
79,43,5,5,5581.57460836977
80,44,4,4,59499.4452306822
81,45,5,5,84398.0244016856
82,46,5,5,44351.9733863186
83,48,3,3,9789.5113896413
84,50,3,3,122804.382819824
85,51,4,4,7111.44161386434
86,52,3,3,7853.73224855327
87,52,4,4,824.177699024206
88,53,4,4,4175.79567283636
89,54,5,5,2796.28336253918
90,55,3,3,6155.02929979388
91,56,3,3,11257.1688102729
92,56,4,4,62692.6051553912
93,56,5,5,51088.6697645293
94,57,5,5,13933.0843926608
95,57,6,6,8291.61571049132
96,58,4,4,3202.15112196949
97,59,3,3,6722.03620428262
98,59,4,4,38216.1098719597
99,117,5,5,25450.5425882889
100,118,4,4,37505.7989004945
101,118,5,5,12424.5308655313
102,81,5,5,5382.98063715898
103,82,4,4,2165.65901023616
104,82,5,5,4778.45202161637
105,83,4,4,50967.9113345392
106,83,5,5,15223.7556142611
107,84,1,1,172646.242407779
108,85,3,3,38070.8994768698
109,85,30,30,5363.4123324292
110,86,5,5,4556.30108146059
111,87,5,5,80410.1562353591
112,88,5,5,35918.8906445093
113,89,3,3,872348.052013163
114,90,4,4,2546.94915196273
115,91,3,3,86263.4916370419
116,91,4,4,11395.9427604174
117,92,3,3,16071.7876110019
118,92,5,5,41192.8233301693
119,93,3,3,774.887798805307
120,94,6,6,1978.17399791036
121,95,4,4,247516.54981588
122,96,5,5,47799.8890102894
123,97,3,3,531.445457098206
124,97,4,4,10858.4751696404
125,99,5,5,8659.60262935077
126,100,5,5,35179.904654674
127,101,4,4,12743.1131308489
128,101,5,5,34039.0759968521
129,102,4,4,10428.7432242826
130,102,5,5,32856.9043347897
131,103,4,4,453.550810712027
132,104,4,4,6845.84025085045
133,105,4,4,2385.57657098791
134,106,4,4,18843.7966946041
135,106,4,5,455.713907867393
136,106,5,5,808.84347596455
137,107,5,5,3207.21288010261
138,108,3,3,27632.2176348663
139,109,4,4,6326.55424381032
140,110,4,4,7476.19831217646
141,111,3,3,22478.4519437632
142,112,3,3,17413.803098492
143,113,4,4,15124.6504086444
144,114,3,3,23906.8887496583
145,115,4,4,1746.80697508369
146,115,5,5,15662.7613246535
147,116,4,4,14754.8055649556
148,144,7,7,4553.80200591602
149,145,3,3,14531.5441691291
150,147,4,4,6350.06043156857
151,147,5,5,31796.330480073
152,148,5,5,5111.11541983098
153,155,5,5,22394.9194965993
154,156,3,3,2884.13281787837
155,157,5,5,10901.7713305157
156,158,5,5,24918.1863058596
157,159,5,5,16650.923596103
158,160,4,4,3689.37216265132
159,160,5,5,4122.22420012632
160,161,5,5,6374.97691716206
161,162,4,4,64410.2028045447
162,163,5,5,83809.9093994904
163,149,5,5,8942.89173262327
164,150,5,5,116215.579228478
165,151,3,3,9082.92821771679
166,152,3,3,6620.24356555156
167,153,5,5,83268.3363020721
168,154,3,3,50774.5964462148
169,154,4,4,864.895668000081
170,119,5,5,18092.8546510788
171,120,3,3,8059.61216893083
172,121,4,4,6458.69546061507
173,121,5,5,78610.7276825459
174,122,5,5,18394.1452646871
175,123,5,5,23775.7814829854
176,124,6,6,16608.2517190167
177,125,5,5,45567.0891076768
178,126,3,3,46522.9891331729
179,127,4,4,5358.08098345685
180,128,5,5,91981.2283329926
181,129,3,3,11713.5699040831
182,129,4,4,3816.97508693315
183,130,3,3,17839.442099661
184,130,4,4,69532.8057964398
185,131,3,3,3290.53159826741
186,131,30,30,2579.05688766325
187,132,4,4,62668.0521621247
188,132,5,5,69447.8436497423
189,133,5,5,14873.269374114
190,134,3,3,2476.02372427074
191,134,4,4,28327.4478260802
192,135,3,3,874.610686216008
193,135,4,4,670.587602461343
194,136,5,5,6395.58479765667
195,137,5,5,23427.1130635972
196,137,6,6,225.625866331547
197,138,3,3,25879.1213841852
198,138,4,4,17428.3423487684
199,139,5,5,2974.90305240018
