OBJECTID,Label,Route,Direction,Type_,Exit_Num,Ramp_Num,Beg_MP,End_MP,Speed_Limit,RteDirID,Shape_Length
226,0261P,0261,P,M,,,6.65,7.161,30,256,1030.67532632167
227,0138P,0138,P,M,,,6.726,8.695,55,1414,4171.11098284043
228,0089P,0089,P,M,,,89.202,90.146,40,1384,1917.04837704571
229,0059P,0059,P,M,,,0.789,19.22,65,315,37264.7800528202
230,0130P,0130,P,M,,,2.711,2.955,40,1410,496.421094948368
231,0186P,0186,P,M,,,0,0.312,40,402,673.942520216563
232,0035P,0035,P,M,,,27.393,28.498,45,1346,2334.75987380109
233,0015N,0015,N,M,,,63.067,63.068,70,6661,0
234,0118P,0118,P,M,,,0,0.821,40,1403,1682.28199056022
235,0010P,0010,P,M,,,25.238,26.503,45,1327,2634.22529818898
236,0191P,0191,P,M,,,362.202,365.178,55,350,6323.24163477255
237,0010P,0010,P,M,,,48.389,49.093,55,1327,1470.36483255028
238,0021P,0021,P,M,,,76.34,76.965,30,305,1285.45624508196
239,0089P,0089,P,M,,,240.63,241.535,30,1384,1889.34900503569
240,0092P,0092,P,M,,,7.703,12.591,35,1386,10310.9839545537
241,0225P,0225,P,M,,,0,0.745,45,422,1630.63178490187
242,0039P,0039,P,M,,,46.006,67.744,55,1349,46848.1418635798
243,0191P,0191,P,M,,,51.729,52.032,45,350,616.727865996677
244,0126P,0126,P,M,,,11.309,14.298,55,1409,6440.31905226194
245,0163P,0163,P,M,,,0.993,17.768,65,1432,33927.4126361562
246,0085N,0085,N,M,,,0.332,2.037,40,6765,3596.70177757668
247,0111P,0111,P,M,,,0,1.509,60,1398,3217.17289934478
248,0306P,0306,P,M,,,0,0.451,,367,951.057562118292
249,0029P,0029,P,M,,,2.046,4.343,45,307,4795.90691943552
250,0079P,0079,P,M,,,3.427,3.756,30,1376,737.985599452231
251,0211P,0211,P,M,,,9.192,18.915,50,355,19922.1364402622
252,0037P,0037,P,M,,,0,0.628,30,309,1358.33629925507
253,0070N,0070,N,M,,,73.087,90.118,70,6662,70257.701851278
254,0013P,0013,P,M,,,12.011,12.305,50,1329,633.341867915153
255,0158P,0158,P,M,,,0,0.734,45,1429,1573.5480681422
256,0089P,0089,P,M,,,380.072,381.322,40,1384,2671.20044678885
